"Tipo","AutorPrincipal","Ano","URLDOI","Título","Periódico/Conferêncial","Coautores"
"trabalhoCompletoEmCongresso","Eliel Marlon de Lima Pinto Moreira","2012","http://dx.doi.org/10.1109/NOMS.2012.6211966","Hybrid Protocol for Group Key Management and Transparent Cluster Interconnection in a Secure Wireless Sensor Network","13th IEEE/IFIP Network Operations and Management Symposium (NOMS 2012)","MARLON, Eliel; WESTPHALL, Carlos Becker"
"trabalhoCompletoEmCongresso","Eliel Marlon de Lima Pinto Moreira","2011","","Uma Filosoﬁa para Testes de Protocolos em Internet do futuro usando Openﬂow","Nona Escola Regional de Redes de Computadores","MARLON, Eliel; Tatianne Moreira"
"trabalhoCompletoEmCongresso","Eliel Marlon de Lima Pinto Moreira","2010","","Customização de Recursos de Comunicação com Power Line Communications na Inclusão Digital","I Simpósio de Tecnologia da Informação da Região Noroeste do Rio Grande do Sul","MARLON, Eliel"
"trabalhoCompletoEmCongresso","Eliel Marlon de Lima Pinto Moreira","2010","","Broaband over Power Line - Uma alternativa para Inclusão digital","Oitava Escola Regional de Redes de Computadores","MARLON, Eliel"
"trabalhoCompletoEmCongresso","Eliel Marlon de Lima Pinto Moreira","2010","","Aplicação do Broadband over Poer Line para Inclusão Digital em Santa Catarina","Primeiro Congresso de Inovação Tecnológica e Sustentabilidade","MARLON, Eliel"
"artigoEmPeriodico","Fernando dos Santos","2020","http://dx.doi.org/10.1016/j.simpat.2020.102126","Quantitatively Assessing the Benefits of Model-driven Development in Agent-based Modeling and Simulation","SIMULATION MODELLING PRACTICE AND THEORY","SANTOS, FERNANDO; NUNES, INGRID ; BAZZAN, ANA L.C."
"artigoEmPeriodico","Fernando dos Santos","2017","http://dx.doi.org/10.1016/j.simpat.2017.11.006","Model-driven agent-based simulation development: A modeling language and empirical evaluation in the adaptive traffic signal control domain","SIMULATION MODELLING PRACTICE AND THEORY,","SANTOS, FERNANDO; NUNES, INGRID ; BAZZAN, ANA L.C."
"artigoEmPeriodico","Fernando dos Santos","2014","","Lixo eletrônico: conscientizar, reaproveitar e reciclar","Udesc em Ação","SANTOS, F.; FORMENTIN, J."
"artigoEmPeriodico","Fernando dos Santos","2013","","Ferramenta para diagnostico de Doencas Fungicas em Folhas de Milho","REAVI - Revista Eletrônica do Alto Vale do Itajaí","STAHNKE, E. ; SANTOS, Fernando dos"
"artigoEmPeriodico","Fernando dos Santos","2012","","Extending the RoboCup Rescue to Support Stigmergy: Experiments and Results","Revista de Informática Teórica e Aplicada: RITA","JACOBSEN, Gabriel. R. C. ; BARTH, Carlos. A. ; SANTOS, F."
"artigoEmPeriodico","Fernando dos Santos","2011","http://dx.doi.org/10.1007/s10458-010-9136-3","Towards efficient multiagent task allocation in the RoboCup Rescue: a biologically-inspired approach","Autonomous Agents and Multi-Agent Systems","dos Santos, Fernando; BAZZAN, A. L. C."
"artigoEmPeriodico","Fernando dos Santos","2010","http://dx.doi.org/10.1007/s10458-009-9087-8","RoboCup Rescue as multiagent task allocation among teams: experiments with task interdependencies","Autonomous Agents and Multi-Agent Systems","FERREIRA, PAULO ROBERTO ; dos Santos, Fernando ; BAZZAN, ANA L. C. ; EPSTEIN, DANIEL ; WASKOW, SAMUEL J."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2024","http://dx.doi.org/10.37423/230607932","Refatoração da Extensão NetLogo de Aprendizagem por Reforço para Integração com a Biblioteca BURLAP","18th Workshop-School on Agents","BAZZANELLA, E. ; BARROS, M. M. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2024","","Introductory Guide to Agent-Based Simulation Development on the GAMA Platform","18th Workshop-School on Agents","SANTOS, A. R. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2023","http://dx.doi.org/10.5753/eniac.2023.233872","Back to the Promotion - EvacSIM: a Serious Game to Practice Requirements Elicitation on an Agent-based Simulation","Encontro Nacional de Inteligência Artificial e Computacional (ENIAC)","DEBACHER, N. M. ; KUSTER, L. F. ; SANTOS, A. F. C. ; VAHLDICK, A. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2021","","Does a Q-Learning NetLogo Extension Simplify the Development of Agent-based Simulations?","15th Workshop-School on Agents","BAZZANELLA, E. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2021","","Portabilidade dos Modelos Epidemiológicos disponíveis na MDD4ABMS para a Plataforma Repast","15th Workshop-School on Agents","SANTOS, F.; PETERSEN, J. B."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2020","http://dx.doi.org/10.5753/eniac.2020.12127","Uma Simulação com Agentes para Estudar a Propagação da COVID-19 em Ibirama(SC)","Encontro Nacional de Inteligência Artificial e Computacional (ENIAC)","TEIXEIRA, L. C. L. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2020","http://dx.doi.org/10.5753/eniac.2020.12142","Uma biblioteca C++ para Desenvolvimento de Algoritmos Evolucionários para o Problema QCaRS","Encontro Nacional de Inteligência Artificial e Computacional (ENIAC)","FUNK, T. ; SANTOS, F."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2019","","Extensão da Abordagem de Desenvolvimento Dirigido a Modelos de Simulações com Agentes (MDD4ABMS) para Suportar Portabilidade de Simulações","Escola Regional de Engenharia de Software (ERES 2019)","SANTOS, F.; TENFEN, R."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2017","","ABStractme: Modularized Environment Modeling in Agent-based Simulations","International Conference on Autonomous Agents and Multiagent Systems","MOREIRA, D. ; SANTOS, F. ; BARBIERI, M. ; NUNES, I. ; BAZZAN, A. L. C."
"trabalhoCompletoEmCongresso","Fernando dos Santos","2017","","A Case Study of the Development of an Agent-based Simulation in the Traffic Signal Control Domain using an MDD Approach","International Workshop on Engineering Multi-Agent Systems (EMAS 2017)","SANTOS, F.; NUNES, I. ; BAZZAN, A. L. C."
